title,url,author,key,tempo,tags,songSelectID,notes
All My Ways Are Known To You,https://www.youtube.com/watch?v=44mVzqGeS-Q,City Alight,Bb,100,Opening Placement&&&End Placement&&&Category A,7073327,
Almighty,https://www.youtube.com/watch?v=-wsCtmaM1_8,Chris Tomlin,G,,Reflective&&&Category A,7016412,
Boldly I Approach,https://www.youtube.com/watch?v=4QDnVD7gu5Y,Rend Collective,G,,Any Placement&&&Category A,7014655,
Build Your Kingdom Here,https://www.youtube.com/watch?v=sbdJXKqVgtg&index=3&list=PLZMnj0r2P0r3UmI7fjbdzeHx2rjIiDtLV,Rend Collective,C,,Opening Placement&&&End Placement&&&Category A,6186078,
Christ is Risen,https://www.youtube.com/watch?v=48iIZsSWYpg,Tenth Avenue North,E,,Opening Placement&&&End Placement&&&Category A,5242683,
Come As You Are,https://www.youtube.com/watch?v=yjgioXrnEME,Crowder,A,,Reflective&&&Category A,7017790,
Come Now And Pray,https://www.youtube.com/watch?v=RlYVZUpam8c,Greg Cooper$$$Nicky Chiswell,Eb,,Reflective&&&Category A,,
Counting Every Blessing,https://www.youtube.com/watch?v=s_zwYprUFg0,Rend Collective,E,90,Opening Placement&&&Category A,7101176,
Crown Him,https://www.youtube.com/watch?v=HFq96fWBnrs,I am They,A,,Reflective&&&End Placement&&&Category A,,
Death was arrested,https://www.youtube.com/watch?v=AwgWbIOt0ko,North Point InsideOut,G,,Any Placement&&&Category A,7046448,
Even So Come,https://www.youtube.com/watch?v=fBHcvJhc6Pk,Passion$$$Chris Tomlin,E,,Opening Placement&&&End Placement&&&Category A,7036288,
Forgiven,https://www.youtube.com/watch?v=9d4m9f4Saps,Sovereign Grace,D,,Reflective&&&Category A,7096634,
From the day,https://www.youtube.com/watch?v=TUjuRFwwvaw,I am they,A,,Opening Placement&&&End Placement&&&Category A,"7023274",Drop low F# and keep some high Es
Have It All,https://www.youtube.com/watch?v=Ni1gysspGns,Bethel$$$Jeremy Riddle,E,,Reflective&&&End Placement&&&Category A,7054173,
Have Mercy on me,https://www.youtube.com/watch?v=kbs9wOOkwpM,Sovereign Grace$$$Sczebel & Bischof,A,,Reflective&&&Category A,6167705,
Home,https://www.youtube.com/watch?v=vCRi0W1oZKw&list=PLxFcIkOfqpFzOuGFJM51qbak2bGGm3-he&index=1&nohtml5=False,City Alight,E,115,Opening Placement&&&End Placement&&&Category A,7007948,
Joy of the Lord,https://www.youtube.com/watch?v=x3gLeCiMJqI,Rend Collective,A,99,Opening Placement&&&Category A,7047091,
Man of Sorrows,https://www.youtube.com/watch?v=C6jXqdtZi10,Hillsong,C,,Category A,6476063,
Mercy,https://www.youtube.com/watch?v=RUQv1mHxc_0,Matt Redman,Bb,,Reflective&&&End Placement&&&Category A,7000689,
Nailed to the Cross,https://www.youtube.com/watch?v=GFLk6v7US3I,Rend Collective,E,,Opening Placement&&&End Placement&&&Category A,7101180,
No Other Name,https://www.youtube.com/watch?v=Ax9r00ovr5g,Trevor Hodge,Bb,,Category A,5737284,
O come to the altar,https://www.youtube.com/watch?v=rYQ5yXCc_CA,Elevation worship,E,,Reflective&&&Category A,7051511,
O Praise the Name,https://www.youtube.com/watch?v=LqBpifDpNKc,Hillsong,A,,Any Placement&&&Category A,7037787,
Only a Holy God,https://www.youtube.com/watch?v=7HSdeeCm8_g,City Alight,D,,Reflective&&&Category A,7073332,
Rescuer,https://www.youtube.com/watch?v=sAg7rn7fH3Q&feature=youtu.be,Rend Collective,D,,Opening Placement&&&End Placement&&&Category A,7094920,
Saved My Soul,https://www.youtube.com/watch?v=eOh4CLApJe8,City Alight,A,,Opening Placement&&&Category A,7073333,
Shine into our night,https://www.youtube.com/watch?v=mU2FLhNGpjI,Sovereign Grace,E,106,Reflective&&&Category A,6167688,Tempo 120 if driving
The Chorus of the Saved,https://www.youtube.com/watch?v=CYyqRdvLewk,Trevor Hodge,B,,Any Placement&&&Category A,,
The Lord is My Salvation,https://www.youtube.com/watch?v=NjOGX5zT8KU,Keith & Kristyn Getty,Bb,,Any Placement&&&Category A,7063694,
The Love of the Father,https://www.youtube.com/watch?v=QVA5s0w17I8&feature=youtu.be&app=desktop,City Alight,A,,Opening Placement&&&End Placement&&&Category A,6635756,
The Saving One,http://youtu.be/hx_ybBLrRNg,Starfield,B,,Opening Placement&&&Category A,5673991,
This I Believe,https://www.youtube.com/watch?v=FtUNQpu2b7Q,Hillsong,G,,Any Placement&&&Category A,7018338,
